model_id,features_list,params_dict,validation_accuracy,simulation_return,performance_score,training_time,timestamp
xgboost_20260323_052034,"[""momentum_10"", ""rsi_14"", ""bollinger_width"", ""volume_surge"", ""volatility"", ""price_position"", ""log_return""]",{},0.4375,0.0113,0.267,0.47,2026-03-23T05:20:34.243300
xgboost_20260323_052109,"[""momentum_10"", ""rsi_14"", ""bollinger_width"", ""volume_surge"", ""volatility"", ""price_position"", ""log_return""]",{},0.4982,-0.1906,0.2989,1.25,2026-03-23T05:21:09.967809
xgboost_20260323_052248,"[""momentum_10"", ""rsi_14"", ""bollinger_width"", ""volume_surge"", ""volatility"", ""price_position"", ""log_return""]",{},0.4982,-0.1906,0.2989,1.36,2026-03-23T05:22:48.561485
xgboost_20260323_052617,"[""momentum_10"", ""rsi_14"", ""bollinger_width"", ""volume_surge"", ""volatility"", ""price_position"", ""log_return""]",{},0.4479,-0.0341,0.2688,0.28,2026-03-23T05:26:17.341254
xgboost_20260323_052701,"[""momentum_10"", ""rsi_14"", ""bollinger_width"", ""volume_surge"", ""volatility"", ""price_position"", ""log_return""]",{},0.4982,-0.1906,0.2989,1.31,2026-03-23T05:27:01.598118
xgboost_20260323_052902,"[""momentum_10"", ""rsi_14"", ""bollinger_width"", ""volume_surge"", ""volatility"", ""price_position"", ""log_return""]",{},0.4167,0.0,0.25,0.21,2026-03-23T05:29:02.046762
xgboost_20260323_052943,"[""momentum_10"", ""rsi_14"", ""bollinger_width"", ""volume_surge"", ""volatility"", ""price_position"", ""log_return""]",{},0.4982,-0.1906,0.2989,1.32,2026-03-23T05:29:43.152444
xgboost_20260323_053115,"[""momentum_10"", ""rsi_14"", ""bollinger_width"", ""volume_surge"", ""volatility"", ""price_position"", ""log_return""]",{},0.4479,-0.0341,0.2688,0.68,2026-03-23T05:31:15.769500
xgboost_20260323_053257,"[""momentum_10"", ""rsi_14"", ""bollinger_width"", ""volume_surge"", ""volatility"", ""price_position"", ""log_return""]",{},0.4479,-0.0341,0.2688,0.72,2026-03-23T05:32:57.650740
xgboost_20260323_053340,"[""momentum_10"", ""rsi_14"", ""bollinger_width"", ""volume_surge"", ""volatility"", ""price_position"", ""log_return""]",{},0.4982,-0.1906,0.2989,1.25,2026-03-23T05:33:40.677516
xgboost_20260323_054224,"[""momentum_10"", ""rsi_14"", ""bollinger_width"", ""volume_surge"", ""volatility"", ""price_position"", ""log_return""]",{},0.5312,-0.0806,0.3188,0.47,2026-03-23T05:42:24.569575
xgboost_20260323_054536,"[""momentum_10"", ""rsi_14"", ""bollinger_width"", ""volume_surge"", ""volatility"", ""price_position"", ""log_return""]",{},0.5273,-0.0188,0.3164,0.36,2026-03-23T05:45:36.571548
xgboost_20260323_055338,"[""momentum_10"", ""rsi_14"", ""bollinger_width"", ""volume_surge"", ""volatility"", ""price_position"", ""log_return""]",{},0.5107,-0.0282,0.3064,0.49,2026-03-23T05:53:38.598991
xgboost_20260323_055510,"[""momentum_10"", ""rsi_14"", ""bollinger_width"", ""volume_surge"", ""volatility"", ""price_position"", ""log_return""]",{},0.5107,-0.0282,0.3064,0.43,2026-03-23T05:55:10.969231
xgboost_20260323_060049,"[""momentum_10"", ""rsi_14"", ""bollinger_width"", ""volume_surge"", ""volatility"", ""price_position"", ""log_return""]",{},0.5107,-0.0282,0.3064,0.51,2026-03-23T06:00:49.729057
xgboost_20260323_060607,"[""momentum_10"", ""rsi_14"", ""bollinger_width"", ""volume_surge"", ""volatility"", ""price_position"", ""log_return""]",{},0.5273,-0.0188,0.3164,0.35,2026-03-23T06:06:07.626424
xgboost_20260323_060619,"[""momentum_10"", ""rsi_14"", ""bollinger_width"", ""volume_surge"", ""volatility"", ""price_position"", ""log_return""]",{},0.5273,-0.0188,0.3164,0.3,2026-03-23T06:06:19.795406
xgboost_20260323_060624,"[""momentum_10"", ""rsi_14"", ""bollinger_width"", ""volume_surge"", ""volatility"", ""price_position"", ""log_return""]",{},0.5273,-0.0188,0.3164,0.29,2026-03-23T06:06:24.564052
xgboost_20260323_061935,"[""momentum_10"", ""rsi_14"", ""bollinger_width"", ""volume_surge"", ""volatility"", ""price_position"", ""log_return""]",{},0.5107,-0.0282,0.3064,0.46,2026-03-23T06:19:35.096064
xgboost_20260323_062718,"[""momentum_10"", ""rsi_14"", ""bollinger_width"", ""volume_surge"", ""volatility"", ""price_position"", ""log_return""]",{},0.5292,3.126,1.5679,0.64,2026-03-23T06:27:18.422594
